route_id,service_id,trip_id,direction_id,shape_id
"1","757_114399","757_3393757","1","2280856503"
"1","757_114399","757_3393758","1","2280856503"
"1","757_114399","757_3393759","1","2280856503"
"1","757_114399","757_3393760","1","2280856503"
"1","757_114399","757_3393761","1","2280856503"
"1","757_114399","757_3393762","1","2280856503"
"1","757_114399","757_3393763","1","2280856503"
"1","757_114399","757_3393764","1","3218993328"
"1","757_114399","757_3393765","1","2190718760"
"1","757_114399","757_3393766","0","3721058664"
"1","757_114399","757_3393767","0","3721058664"
"1","757_114399","757_3393768","1","2280856503"
"1","757_114399","757_3393769","1","3218993328"
"1","757_114400","757_3393770","0","946057503"
"1","757_114400","757_3393771","0","3721058664"
"1","757_114400","757_3393772","0","3721058664"
"1","757_114400","757_3393773","0","3721058664"
"1","757_114400","757_3393774","1","2280856503"
"1","757_114400","757_3393775","1","2280856503"
"1","757_114400","757_3393776","1","2280856503"
"1","757_114400","757_3393777","0","2641931506"
"1","757_114400","757_3393778","0","3721058664"
"1","757_114400","757_3393779","0","3721058664"
"1","757_114400","757_3393780","0","3721058664"
"1","757_114400","757_3393781","0","3721058664"
"1","757_114400","757_3393782","0","3721058664"
"1","757_114400","757_3393783","0","3721058664"
"1","757_114400","757_3393784","0","3721058664"
"1","757_114400","757_3393785","0","3721058664"
"1","757_114400","757_3393786","0","3721058664"
"1","757_114400","757_3393787","1","2280856503"
"1","757_114400","757_3393788","1","2280856503"
"1","757_114400","757_3393789","1","2280856503"
"1","757_114400","757_3393790","1","2280856503"
"1","757_114400","757_3393791","1","2280856503"
"1","757_114400","757_3393792","1","2280856503"
"1","757_114400","757_3393793","1","2280856503"
"1","757_114400","757_3393794","1","2280856503"
"1","757_114400","757_3393795","1","2280856503"
"1","757_114400","757_3393796","1","2280856503"
"1","757_114400","757_3393797","1","3218993328"
"1","757_114400","757_3393798","0","3721058664"
"1","757_114400","757_3393799","0","3721058664"
"1","757_114400","757_3393800","0","3721058664"
"1","757_114400","757_3393801","0","3721058664"
"1","757_114400","757_3393802","0","3721058664"
"1","757_114400","757_3393803","0","3721058664"
"1","757_114400","757_3393804","0","3721058664"
"1","757_114400","757_3393805","0","3721058664"
"1","757_114400","757_3393806","0","3721058664"
"1","757_114400","757_3393807","1","2280856503"
"1","757_114400","757_3393808","1","2280856503"
"1","757_114400","757_3393809","1","2280856503"
"1","757_114400","757_3393810","1","2280856503"
"1","757_114400","757_3393811","1","2280856503"
"1","757_114400","757_3393812","1","2280856503"
"1","757_114400","757_3393813","1","2280856503"
"101","757_94303","757_2556052","0","917682364"
"101","757_94303","757_2556053","0","917682364"
"101","757_94303","757_2556055","0","917682364"
"101","757_94304","757_2556056","0","917682364"
"101","757_94304","757_2556057","0","917682364"
"101","757_94304","757_2556058","0","917682364"
"101","757_94304","757_2556059","0","917682364"
"101","757_94304","757_2556060","0","917682364"
"101","757_94304","757_2556062","0","917682364"
"101","757_94304","757_2556063","0","917682364"
"101","757_94304","757_2556067","0","917682364"
"101","757_94304","757_2556068","0","917682364"
"101","757_94304","757_2556072","0","917682364"
"101","757_94304","757_2556073","0","917682364"
"101","757_94304","757_2556074","0","917682364"
