service_id,date,exception_type
"757_114590","20171031","1"
"757_114590","20171103","1"
"757_114590","20171106","1"
"757_114590","20171107","1"
"757_114590","20171108","1"
"757_114590","20171109","1"
"757_114590","20171110","1"
"757_114590","20171113","1"
"757_114590","20171114","1"
"757_114590","20171115","1"
"757_114590","20171116","1"
"757_114590","20171117","1"
"757_114590","20171120","1"
"757_114590","20171121","1"
"757_114590","20171122","1"
"757_114590","20171123","1"
"757_114590","20171124","1"
"757_114590","20171127","1"
"757_114590","20171128","1"
"757_114590","20171129","1"
"757_114590","20171130","1"
"757_114590","20171201","1"
"757_114590","20171204","1"
"757_114590","20171205","1"
"757_114590","20171206","1"
"757_114590","20171207","1"
"757_114590","20171211","1"
"757_114590","20171212","1"
"757_114590","20171213","1"
"757_114590","20171214","1"
"757_114590","20171215","1"
"757_114590","20171218","1"
"757_114590","20171219","1"
"757_114590","20171220","1"
"757_114590","20171221","1"
"757_114590","20171222","1"
"757_114590","20180108","1"
"757_114590","20180109","1"
"757_114590","20180110","1"
"757_114590","20180111","1"
"757_114590","20180112","1"
"757_114590","20180115","1"
"757_114590","20180116","1"
"757_114590","20180117","1"
"757_114590","20180118","1"
"757_114590","20180119","1"
"757_114590","20180122","1"
"757_114590","20180123","1"
"757_114590","20180124","1"
"757_114590","20180125","1"
"757_114590","20180126","1"
"757_114590","20180129","1"
"757_114590","20180130","1"
"757_114590","20180131","1"
"757_114590","20180201","1"
"757_114590","20180202","1"
"757_114590","20180205","1"
"757_114590","20180206","1"
"757_114590","20180207","1"
"757_114590","20180208","1"
"757_114590","20180209","1"
"757_114590","20180212","1"
"757_114590","20180213","1"
"757_114590","20180214","1"
"757_114590","20180215","1"
"757_114590","20180216","1"
"757_114590","20180219","1"
"757_114590","20180220","1"
"757_114590","20180221","1"
"757_114590","20180222","1"
"757_114590","20180223","1"
"757_114590","20180226","1"
"757_114590","20180227","1"
"757_114590","20180228","1"
"757_114590","20180301","1"
"757_114590","20180302","1"
"757_114590","20180305","1"
"757_114590","20180306","1"
"757_114590","20180307","1"
"757_114590","20180308","1"
"757_114590","20180309","1"
"757_114590","20180312","1"
